iter	Passed	Remaining
0	1	149
1	3	157
2	5	178
3	6	158
4	7	147
5	8	135
6	9	125
7	10	118
8	11	116
9	12	112
10	13	107
11	14	105
12	15	103
13	16	103
14	17	101
15	18	99
16	19	96
17	20	94
18	21	92
19	22	90
20	23	88
21	24	87
22	26	87
23	27	86
24	28	85
25	29	83
26	30	81
27	31	81
28	32	79
29	33	77
30	34	75
31	34	74
32	35	72
33	37	72
34	38	72
35	39	70
36	40	69
37	41	67
38	42	66
39	43	64
40	43	63
41	44	61
42	45	60
43	46	59
44	47	57
45	48	56
46	49	56
47	51	55
48	51	54
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	70	34
67	71	33
68	73	32
69	74	31
70	75	30
71	76	29
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
