iter	Passed	Remaining
0	145	144881
1	146	72912
2	147	48884
3	147	36827
4	148	29611
5	151	25060
6	152	21638
7	153	19060
8	154	17007
9	155	15378
10	156	14046
11	156	12923
12	157	11973
13	158	11154
14	159	10454
15	160	9872
16	161	9335
17	162	8845
18	162	8406
19	163	8008
20	164	7653
21	164	7328
22	165	7032
23	166	6767
24	167	6526
25	168	6296
26	168	6081
27	169	5881
28	170	5696
29	170	5525
30	171	5371
31	172	5221
32	173	5079
33	173	4943
34	174	4816
35	175	4695
36	175	4579
37	176	4470
38	177	4370
39	178	4280
40	179	4188
41	179	4101
42	180	4016
43	181	3940
44	182	3863
45	182	3792
46	183	3723
47	184	3656
48	185	3592
49	185	3531
50	186	3472
51	187	3415
52	188	3360
53	189	3312
54	190	3269
55	191	3221
56	191	3172
57	192	3127
58	193	3085
59	194	3043
60	195	3002
61	195	2963
62	196	2924
63	197	2886
64	198	2849
65	198	2812
66	199	2777
67	200	2747
68	201	2715
69	202	2684
70	202	2652
71	203	2623
72	204	2593
73	205	2566
74	205	2539
75	206	2513
76	207	2486
77	208	2461
78	209	2436
79	209	2411
80	210	2386
81	211	2365
82	211	2340
83	212	2319
84	213	2298
85	214	2278
86	215	2258
87	215	2237
88	216	2220
89	217	2200
90	218	2180
91	218	2160
92	219	2142
93	220	2129
94	221	2112
95	222	2096
96	223	2082
97	224	2066
98	225	2050
99	226	2034
100	226	2019
101	227	2005
102	228	1991
103	229	1976
104	230	1960
105	230	1945
106	231	1930
107	231	1916
108	232	1903
109	233	1892
110	234	1879
111	235	1866
112	236	1854
113	236	1841
114	237	1828
115	238	1817
116	239	1804
117	239	1792
118	240	1780
119	241	1768
120	241	1756
121	242	1743
122	242	1731
123	243	1720
124	244	1711
125	245	1703
126	246	1692
127	247	1683
128	247	1673
129	248	1663
130	249	1654
131	250	1645
132	250	1635
133	251	1626
134	252	1618
135	253	1609
136	254	1600
137	254	1591
138	255	1584
139	256	1578
140	257	1571
141	258	1561
